"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256"
0,0.2135,0.33,0.9465,1,1,1,0.8865,0.6325,0.159,0,0,0,0,0,0,0,0.5915,1,1,1,1,1,1,1,0.9075,0.282,0,0,0,0,0,0,0.0545,0.455,0.435,0.2755,0.56,0.645,0.9285,1,1,0.7655,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0.9005,1,0.947,0.0235,0,0,0,0,0,0,0,0,0,0,0.0315,0.553,0.991,1,0.9405,0.52,0.201,0,0,0,0,0,0,0,0,0,0.548,1,1,1,1,1,0.995,0.6405,0.0735,0,0,0,0,0,0,0,0.2545,0.72,0.72,0.74,1,1,1,1,0.7455,0.0135,0,0,0,0,0,0,0,0,0,0.0015,0.04,0.425,1,1,0.9085,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.2355,0.9955,0.6765,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,1,0.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4225,1,0.2155,0,0,0,0,0,0,0,0,0,0,0,0.0045,0.428,0.963,0.9575,0.0275,0,0,0.309,0.3675,0.015,0,0,0,0,0.097,0.354,0.8405,0.9985,1,0.691,0,0,0.0155,0.9395,1,0.8935,0.7565,0.56,0.6065,0.88,0.934,1,1,0.8795,0.4895,0.042,0,0,0.002,0.52,0.9975,1,1,1,1,1,1,0.8205,0.3585,0.0425,0,0,0,0,0,0,0.3365,0.775,1,0.9815,0.672,0.2615,0.04,0.016,0,0,0,0,0,0
0,0,0,0,0.238,0.4385,0.6665,0.6665,0.972,0.6945,0.5615,0.095,0,0,0,0,0,0,0,0.847,1,1,1,1,1,1,1,0.9615,0.0795,0,0,0,0,0,0.0155,0.6595,0.5405,0.3335,0.3335,0.3335,0.46,0.704,1,1,0.3985,0,0,0,0,0,0,0,0,0,0,0,0,0.355,1,1,0.312,0,0,0,0,0,0,0,0,0,0,0,0.442,1,1,0.669,0,0,0,0,0,0,0,0,0,0,0.1245,0.627,1,1,0.662,0.0305,0,0,0,0,0,0,0,0,0.1905,0.613,0.924,1,1,1,0.7425,0.498,0.0315,0,0,0,0,0,0.158,0.768,1,1,1,1,1,1,1,1,0.6295,0,0,0,0,0.179,0.9455,1,1,1,0.5985,0.3335,0.3335,0.523,0.767,1,1,0.431,0,0,0,0.156,0.9445,0.6885,0.3335,0.0995,0,0,0,0,0.0115,0.6445,1,0.955,0.0555,0,0,0,0,0,0,0,0,0,0,0,0,0.188,1,1,0.2565,0,0,0,0,0,0,0,0,0,0,0,0,0.275,1,0.8685,0.0785,0,0,0,0,0,0,0,0,0,0,0.032,0.454,0.9875,1,0.5265,0,0,0,0,0,0.1735,0.889,0.049,0.098,0.3335,0.6315,0.9425,1,1,0.604,0.0575,0,0,0,0,0,0.759,1,1,1,1,1,1,0.836,0.294,0,0,0,0,0,0,0,0.2825,0.8965,1,1,0.881,0.5695,0.1475,0,0,0,0,0,0
0,0,0,0,0,0.0895,0.4095,0.453,0.709,0.871,0.8855,0.6105,0.113,0,0,0,0,0,0,0.1145,0.249,0.941,1,1,1,1,1,1,0.8345,0.001,0,0,0,0.00700000000000001,0.5565,0.978,0.9895,0.9995,0.9095,0.7065,0.4945,0.488,0.795,1,0.9765,0.049,0,0,0,0.0495,0.946,0.798,0.511,0.384,0.00950000000000001,0,0,0.0515,0.7245,1,0.6085,0.00600000000000001,0,0,0,0,0.054,0.00950000000000001,0,0,0,0,0.161,0.829,1,0.867,0.1155,0,0,0,0,0,0,0,0,0,0,0.147,0.865,1,0.9925,0.4925,0.089,0,0,0,0,0,0,0,0,0.1965,0.7215,0.9665,1,1,1,1,0.943,0.1595,0,0,0,0,0,0,0.2475,0.9735,1,0.9915,0.8545,0.6855,0.8545,0.9375,1,0.758,0.00700000000000001,0,0,0,0,0,0.0445,0.6855,0.435,0.146,5e-04,0,0,0.3945,1,0.99,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.2395,1,0.832,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0.599,1,0.5745,0,0,0,0,0,0,0,0,0,0,0,0.00750000000000001,0.471,0.984,0.952,0.087,0,0,0,0,0,0,0,0,0,0,5e-04,0.5065,1,0.9265,0.1845,0,0,0,0,0,0,0,0.1365,0.1835,0.1325,0.429,0.81,0.994,0.899,0.261,0,0,0,0,0,0,0,0.1465,0.9025,1,1,1,0.9245,0.5175,0.089,0,0,0,0,0,0,0,0,0.2775,0.709,0.9045,0.9365,0.5555,0.123,0,0,0,0,0,0,0
0,0,0,0.005,0.266,0.5325,0.7775,0.846,0.7925,0.5555,0.5555,0.088,0,0,0,0,0,0,0,0.2185,0.9975,1,0.89,0.8635,1,1,1,0.8535,0.1525,0,0,0,0,0,0,0.622,1,0.9915,0.7785,0.9335,1,0.784,0.2435,0.7135,0.913,0.1195,0,0,0,0,0,0.2645,0.8745,1,0.9015,0.7245,0.363,0.0205,0,0.3115,1,0.466,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0.6785,1,0.554,0,0,0,0,0,0,0,0,0,0.2725,0.7655,0.716,0.9615,1,0.9625,0.334,0,0,0,0,0,0,0,0,0,0.541,1,1,1,1,0.3725,0,0,0,0,0,0,0,0,0,0,0.03,0.461,0.7465,0.4635,0.975,0.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538,0.998,0.2175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115,0.989,0.5995,0,0,0.0155,0.4785,0.4305,0.163,0.049,0,0,0,0,0,0,0.016,0.9505,0.932,0.0765,0,0.055,0.934,1,1,0.945,0.889,0.751,0.6665,0.6665,0.533,0.5535,0.681,0.9935,1,0.918,0.068,0,0.413,0.9935,0.5675,0.4285,0.6665,0.702,0.889,0.889,0.889,0.896,1,1,0.9695,0.2405,0,0,0,0.3905,0.929,0.616,0.302,0.133,0,0,0.2565,0.7675,0.999,1,0.6065,0,0,0,0,0,0.191,0.67,0.9995,1,0.964,0.8875,1,1,1,0.6935,0.038,0,0,0,0,0,0,0,0.2065,0.612,0.88,1,0.947,0.7695,0.2575,0.0185,0,0,0
0,0,0,0,0,0,0,0,0.112,0.6965,0.9995,0.167,0,0,0,0,0,0,0,0,0,0,0.524,0.7535,0.9665,1,0.759,0.0555,0,0,0,0,0,0,0,0,0,0,0.607,1,0.9375,0.739,0.9655,0.2335,0,0,0,0,0,0,0,0,0,0,0.00950000000000001,0.117,0.0435,0.002,0.901,0.727,0,0,0,0,0,0,0,0,0,0.0025,0.013,5e-04,0.004,0.2615,0.9955,0.884,0.001,0,0,0,0,0,0,0,0,0.5955,1,0.8265,0.8495,1,1,0.7215,0,0,0,0,0,0,0,0,0.001,0.6665,1,1,1,1,0.8035,0.072,0,0,0,0,0,0,0,0,0,0.014,0.3375,0.322,0.2725,0.45,0.945,0.3785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2735,0.931,0.5225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2035,0.9825,0.3035,0,0,0.0705,0.3735,0.3185,0.147,0,0,0,0,0,0,0,0,0.5535,0.969,0.1395,0,0.4445,1,1,0.9975,0.8845,0.711,0.5375,0.3605,0.159,0.023,0,0,0.2435,0.998,0.79,0.1165,0.087,0.868,0.811,0.227,0.3785,0.5955,0.6835,0.9435,1,0.959,0.948,0.948,0.983,1,0.995,0.269,0,0.083,0.718,0.963,0.647,0.3665,0.1925,0.0945,0.1165,0.2985,0.2985,0.328,0.718,1,1,0.1335,0,0,0.005,0.3205,0.7455,0.985,1,0.9665,0.87,0.87,0.87,0.9105,1,1,0.8125,0.0525,0,0,0,0,0,0.0935,0.3095,0.5845,0.729,0.9025,1,1,0.957,0.644,0.0805,0
0,0,0,0,0,0.152,0.67,0.835,0.1595,0,0,0,0,0,0,0,0,0,0,0,0.3325,0.9495,1,0.9285,0.3755,0,0,0,0,0,0,0,0,0,0,0,0.724,1,1,1,0.9415,0.567,0.1135,0,0,0,0,0,0,0,0,0,0.0685,0.4625,0.3105,0.3105,0.438,0.7425,0.953,0.3105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00850000000000001,0.4465,0.972,0.1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093,0.995,0.5575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3115,1,0.8285,0,0,0,0,0,0,0,0.037,0.266,0.0015,0.0275,0.276,0.479,0.951,1,0.51,0,0,0,0,0,0,0,0.58,1,1,1,1,1,1,0.6025,0.047,0,0,0,0,0,0,0,0.123,0.625,0.655,0.8835,0.931,0.987,0.908,0.0615,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338,1,0.65,0,0,0,0,0,0,0,0.0675,0.00850000000000001,0,0,0,0,0.031,0.9595,0.9295,0.011,0,0,0,0,0,0,0.6255,0.4875,0,0,0,0,0.1255,0.965,0.97,0.042,0,0,0,0,0,0,0.7725,0.8145,0.1725,0,0.0485,0.275,0.732,1,0.845,0.02,0,0,0,0,0,0,0.2035,0.9455,0.993,0.931,0.9425,1,1,0.9575,0.2845,0,0,0,0,0,0,0,0,0.1295,0.74,1,1,1,0.7835,0.2455,0,0,0,0,0
0,0,0,0,0,0.1835,0.6635,0.871,0.765,0.645,0.354,0.035,0,0,0,0,0,0,0,0,0.171,0.916,0.9655,0.74,0.739,0.9105,0.9825,0.805,0.1255,0,0,0,0,0,0,0.1255,0.8165,0.9305,0.163,0,0,0,0.117,0.7785,0.9165,0.024,0,0,0,0,0.214,0.796,0.948,0.234,0,0,0,0,0,0.4595,1,0.155,0,0,0,0,0.3175,0.9365,0.19,0,0,0,0,0,5e-04,0.7075,0.9835,0.0905,0,0,0,0,0,0.0105,0,0,0,0,0,0,0.421,0.9995,0.6685,0,0,0,0,0,0,0,0,0,0,0,0.0205,0.4375,0.9665,0.892,0.0965,0,0,0,0,0,0,0,0,0,0.179,0.375,0.794,1,0.8215,0.113,0,0,0,0,0,0,0,0,0,0,0.355,0.9795,1,1,0.962,0.365,0,0,0,0,0,0,0,0,0,0,0,0.063,0.0745,0.173,0.5975,0.9495,0.559,0,0,0,0,0,0.132,0.513,0,0,0,0,0,0,0,0.322,0.9975,0.2915,0,0,0,0,0.4845,0.7095,0,0,0,0,0,0,0,0.003,0.926,0.561,0,0,0,0,0.4835,0.853,0.053,0,0,0,0,0,0.013,0.3085,0.988,0.5085,0,0,0,0,0.0665,0.839,0.6505,0.0265,0,0,0,0.067,0.632,1,0.9715,0.167,0,0,0,0,0,0.167,0.8575,0.866,0.6715,0.6715,0.7675,0.933,1,0.9335,0.311,0,0,0,0,0,0,0,0.0675,0.464,0.838,1,0.8445,0.75,0.427,0.035,0,0,0,0
0,0.1685,0.788,1,1,1,1,1,0.989,0.6665,0.6665,0.5325,0.1875,0,0,0,0,0.732,1,1,1,1,1,1,1,1,1,1,1,0.49,0,0,0,0.083,0.3335,0.3335,0.2505,0,0,0.083,0.3335,0.3335,0.651,0.996,1,1,0.2705,0,0,0,0,0,0,0,0,0,0,0.2745,0.7855,1,1,0.968,0.194,0,0,0,0,0,0.068,0.5005,0.6665,0.822,1,1,1,1,0.8205,0.233,0,0,0,0,0.3075,0.969,1,1,1,1,1,1,0.581,0.253,0,0,0,0,0,0,0.6075,1,1,1,1,1,1,1,0.8835,0.2865,0,0,0,0,0,0,0.0415,0.3335,0.181,0.0415,0.3335,0.498,0.6665,0.9545,1,1,0.5715,0.0455,0,0,0,0,0,0,0,0,0,0,0,0.0775,0.636,1,1,0.7215,0.00950000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0.3775,1,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8195,1,0.736,0,0,0.099,0.6425,0.2585,0,0,0,0,0,0,0,0,0.928,1,0.739,0,0,0.5915,0.9625,0.0015,0,0,0,0,0,0,0.2585,0.889,1,1,0.408,0,0,0.811,1,0.7415,0.3965,0.3335,0.3335,0.3815,0.667,0.814,1,1,0.9395,0.471,0,0,0,0.2675,0.985,1,1,1,1,1,1,1,1,0.7925,0.1765,0,0,0,0,0,0.1085,0.565,0.6665,0.6665,0.91,0.756,0.6665,0.435,0.1135,0,0,0,0,0
0,0,0,0,0,0,0.107,0.333,0.5925,0.6665,0.967,1,0.6625,0.115,0,0,0,0,0,0,0.095,0.6465,1,1,1,1,1,1,1,0.908,0.016,0,0,0.097,0.72,1,1,1,1,1,1,0.6945,0.75,1,1,0.738,0,0,0.077,0.9265,1,1,1,1,0.7065,0.661,0.1845,0.0715,0.7105,1,1,0.4405,0,0,0.3015,1,1,1,0.828,0.0925,0,0.0605,0.655,0.808,1,1,0.999,0.144,0,0,0.0185,0.5805,1,0.6415,0.0925,0,0,0.599,1,1,1,1,1,0.8705,0.086,0,0,0,0,0,0,0,0,0.4525,1,1,0.742,0.6665,0.8135,1,0.6585,0,0,0,0,0,0,0,0,0,0.217,0.3305,0.00800000000000001,0,0.1945,1,0.997,0.1415,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.9235,1,0.5075,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.896,1,0.21,0.4205,1,0.5675,0.123,0,0,0,0,0,0,0,0,0.1985,1,1,0.468,0.3845,1,1,0.9245,0.135,0,0,0,0,0,0,0,0.385,1,1,0.3925,0.0545,0.85,1,1,0.954,0.667,0.4395,0.036,0,0,0,0.303,0.935,1,0.9165,0.0675,0,0.1475,0.721,1,1,1,1,1,0.778,0.9655,0.667,0.9235,1,1,0.5755,0,0,0,0.0225,0.537,0.9405,1,1,1,1,1,1,1,1,0.7445,0.0885,0,0,0,0,0,0,0.2325,0.525,0.6665,0.6665,0.6665,0.8175,0.738,0.352,0.001,0,0
0,0,0.035,0.3845,0.5845,0.663,0.792,0.904,1,0.991,0.792,0.319,0,0,0,0,0,0,0.3885,0.942,0.87,0.87,0.84,0.6625,0.6625,0.7115,0.92,0.998,0.285,0,0,0,0,0,0.0045,0.044,0,0,0,0,0,0,0.116,1,0.7545,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0.9945,0.8075,0,0,0,0,0,0,0,0,0,0,0,0,0.00850000000000001,0.684,1,0.5175,0,0,0,0,0,0,0,0,0,0,0,0.177,0.671,1,0.708,0.0155,0,0,0,0,0,0,0.138,0.8955,0.766,0.6475,0.786,0.988,1,0.663,0.0475,0,0,0,0,0,0,0,0.0735,0.764,1,1,1,1,1,0.547,0.0225,0,0,0,0,0,0,0,0,5e-04,0.104,0.104,0.104,0.1975,0.664,0.993,0.7285,0.0595,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,0.975,0.733,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524,1,0.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385,1,0.4825,0,0,0,0,0,0.228,0.023,0,0,0,0,0,0.2145,0.8565,1,0.2655,0,0,0,0,0.0425,0.974,0.2705,0,0,0,0.1395,0.6275,0.9785,1,0.577,0.013,0,0,0,0,0.044,0.8525,0.9135,0.6625,0.6395,0.5765,0.989,1,0.915,0.4175,0.0045,0,0,0,0,0,0,0.083,0.607,0.955,1,1,0.861,0.513,0.1105,0,0,0,0,0
0,0,0.257,0.7815,1,1,0.86,0.68,0.4025,0.04,0.022,0,0,0,0,0,0,0.1125,0.928,0.949,0.793,0.6,0.7525,0.9585,1,1,0.881,0.371,0.051,0,0,0,0,0.104,0.765,0.13,0,0,0,0.109,0.3825,0.5945,0.9315,1,0.92,0.2355,0,0,0,0,0,0,0,0,0,0,0.0285,0.16,0.5525,1,1,0.9595,0.165,0,0,0,0,0,0.1645,0.823,0.84,0.84,0.864,1,1,1,1,0.814,0.0515,0,0,0,0,0,0.2025,0.845,1,1,1,1,0.867,0.76,0.5415,0.131,0,0,0,0,0,0,0,0.026,0.1855,0.5005,0.894,1,0.7645,0.0725,0,0,0,0,0,0,0,0,0,0,0,0,0.0235,0.5635,1,0.758,0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.7995,1,0.4045,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5575,1,0.6825,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523,1,0.8195,0,0,0,0,0,0.021,0.365,0.0235,0,0,0,0,0.015,0.819,1,0.6625,0,0,0,0,0,0.3635,0.9845,0.0985,0,0,0,0,0.49,1,0.999,0.2375,0,0,0,0,0,0.418,1,0.611,0.24,0.24,0.3545,0.7055,0.9825,1,0.8245,0.0245,0,0,0,0,0,0.00650000000000001,0.4235,0.9935,1,1,1,1,1,0.8375,0.137,0,0,0,0,0,0,0,0,0.2285,0.648,0.963,1,0.7935,0.5455,0.0705,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.4855,0.324,0.1725,0.00950000000000001,0,0,0,0,0,0,0,0,0,0,0,0.002,0.8505,1,1,0.845,0.353,0,0,0,0,0,0,0,0,0,0,0,0.156,0.046,0.21,0.563,0.918,0.85,0.1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0.826,0.9135,0.0465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622,1,0.2375,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0.875,0.999,0.1655,0,0,0,0,0,0,0,0,0,0,0,0.6195,0.9605,1,0.8655,0.03,0,0,0,0,0,0,0,0,0,0,0,0.163,0.76,0.994,0.5335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.957,0.3115,0,0,0.0525,0.043,0,0,0,0,0,0,0,0,0,0,0.2715,0.977,0.289,0,0.517,0.9655,0.7935,0.521,0.2325,0.018,0,0,0,0,0,0,0,0.454,0.8835,0.1345,0,0.1575,0.516,0.8005,0.998,0.9315,0.732,0.283,0.0965,0.259,0.113,0.003,0.003,0.1545,0.9555,0.6285,0,0,0,0,0.0855,0.367,0.5845,0.766,0.9745,1,1,1,1,1,1,0.7445,0,0,0,0,0,0,0,0,0.0185,0.1445,0.296,0.5345,0.5345,0.5345,0.477,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.54,0.9015,1,0.971,0.619,0.619,0.3215,0.088,0,0,0,0,0,0,0,0,0.8155,1,1,1,1,1,1,0.8205,0.444,0.029,0,0,0,0,0,0,0.13,0.286,0.286,0.286,0.383,0.701,1,1,1,0.687,0.029,0,0,0,0,0,0,0,0,0,0,0.0045,0.0475,0.655,1,1,0.322,0,0,0,0,0.00700000000000001,0.346,0.8095,0.8095,0.6765,0.4285,0.4285,0.4285,0.5205,1,1,0.493,0,0,0,0,0.3835,1,1,1,1,1,1,1,1,1,0.853,0.049,0,0,0,0,0.127,0.959,1,1,1,1,1,1,1,1,0.902,0.153,0,0,0,0,0,0.1685,0.595,0.7725,1,0.665,0.619,0.619,0.619,0.8815,1,0.8785,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1135,0.941,1,0.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5575,1,0.783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.749,1,0.8085,0,0,0.0205,0.47,0.09,0,0,0,0,0,0,0,0.409,0.9315,1,0.7615,0,0,0.4185,1,0.4315,0,0,0,0,0.047,0.2255,0.701,0.9925,1,0.8635,0.1255,0,0,0.7195,1,0.8165,0.667,0.667,0.667,0.667,0.9935,1,1,1,0.8815,0.118,0,0,0,0.0585,0.7255,0.875,1,1,1,1,1,0.996,0.857,0.6615,0.1495,0,0,0,0,0,0,0.0285,0.5165,0.619,0.93,1,0.6525,0.4615,0,0,0,0,0,0
0,0.00700000000000001,0.7645,1,1,0.7715,0.698,0.698,0.666,0.2525,0.0705,0,0,0,0,0,0,0,0.7505,1,1,1,1,1,1,1,0.951,0.6085,0.2765,0,0,0,0,0,0.1195,0.6885,0.1815,0.1135,0.3125,0.415,0.481,0.798,1,1,0.9955,0.536,0,0,0,0,0,0,0,0,0,0,0,0.005,0.2235,0.8835,1,0.968,0.00700000000000001,0,0,0,0,0,0,0,0,0,0,0.157,0.6365,0.924,1,0.592,0,0,0,0,0,0,0,0,0,0.1605,0.8315,0.9595,1,0.946,0.4405,0.031,0,0,0,0,0,0,0,0,0,0.6645,1,1,0.559,0.097,0,0,0,0,0,0,0,0,0,0,0,0.241,0.9355,1,0.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272,0.9885,0.9675,0.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409,0.998,0.925,0.0885,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9015,1,0.3425,0,0,0,0,0,0.2005,0.62,0,0,0,0,0,0,0.561,1,0.6035,0,0,0,0,0,0.548,0.7565,0.0055,0,0,0,0,0,0.426,1,0.693,0,0,0,0,0,0.447,1,0.7795,0.282,0.089,0,0.08,0.2695,0.887,1,0.5325,0,0,0,0,0,0.0235,0.604,1,1,0.962,0.8115,0.942,1,1,0.7635,0.044,0,0,0,0,0,0,0.0125,0.249,0.738,1,1,1,0.719,0.419,0.039,0,0,0,0
0,0,0,0.419,0.8925,1,1,0.7945,0.546,0.2845,0,0,0,0,0,0,0,0,0.3495,1,1,0.8055,0.875,0.882,1,1,0.8535,0.297,0,0,0,0,0,0,0.324,0.869,0.1195,0,0,0,0.1305,0.3815,0.876,1,0.7375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0.6135,1,0.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4005,1,0.412,0,0,0,0,0,0,0,0,0,0,0,0,0.389,0.987,0.6735,0.013,0,0,0,0,0,0,0,0,0,0.0385,0.415,0.835,1,0.6295,0.019,0,0,0,0,0,0,0,0.0325,0.284,0.598,0.912,1,0.9675,0.331,0,0,0,0,0,0,0,0.1165,0.873,1,1,1,0.821,0.3455,0.0315,0,0,0,0,0,0,0,0,0.1105,0.7915,1,1,0.743,0.0425,0,0,0,0,0,0,0,0,0,0,0,0,0.3635,0.75,0.9515,1,0.777,0.283,0,0,0,0,0,0,0,0,0,0,0,0,0.1485,0.572,0.9455,1,0.8515,0.1705,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0.88,1,0.6715,0,0,0,0,0,0,0,0,0,0,0,0.1205,0.621,1,0.942,0.1915,0,0,0,0,0,0,0,0,0.052,0.491,0.7365,1,1,0.707,0.1385,0,0,0,0,0,0,0,0,0,0.099,0.8425,0.954,0.64,0.2135,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.277,0.8595,0.275,0,0,0,0,0,0,0,0,0,0,5e-04,0.1485,0.5175,0.9625,0.9995,0.3055,0,0,0,0,0,0,0,0,0.0285,0.4575,0.838,0.994,1,1,1,0.4955,0,0,0,0,0,0,0,0.039,0.804,1,1,1,0.6165,0.294,0.4185,0.841,0.5475,0,0,0,0,0,0,0.281,0.994,0.985,0.6835,0.2535,0,0,0,0.6075,0.9665,0.0315,0,0,0,0,0,0,0.2735,0.1835,0,0,0,0,0.0145,0.9,0.896,0.016,0,0,0,0,0,0.001,0.376,0.574,0.3515,0.0955,0,0.019,0.6045,1,0.66,0,0,0,0,0,0,0.343,0.9965,0.9095,0.7655,0.969,0.6655,0.777,1,0.8495,0.171,0,0,0,0,0,0,0.053,0.929,0.836,0.5295,0.8595,1,1,0.8495,0.047,0,0,0,0,0,0,0,0,0.13,0.616,0.938,0.9645,0.7065,0.301,0.7275,0.7925,0.0425,0,0,0,0,0,0,0,0,0,0.0505,0.088,0,0,0.0225,0.7685,0.7055,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3235,1,0.3235,0,0,0,0,0.311,0.6475,0.094,0,0,0,0,0,0,0.3265,1,0.3895,0,0,0,0,0.109,0.871,0.9315,0.569,0.1775,0,0,0.0365,0.296,0.9105,0.998,0.25,0,0,0,0,0,0.0585,0.5575,0.9685,0.9905,0.8825,0.7715,0.9125,1,1,0.5765,0.0045,0,0,0,0,0,0,0,0.0485,0.391,0.619,0.899,0.844,0.485,0.211,0.017,0,0,0
0,0,0,0,0.413,0.714,0.811,1,0.9835,0.7155,0.6715,0.3175,0.0055,0,0,0,0,0,0,0.00800000000000001,0.818,1,1,1,1,1,1,1,0.7485,0.078,0,0,0,0,0,0,0.1285,0.83,0.6775,0.0375,0,0,0.0445,0.326,0.9765,0.6535,0,0,0,0,0,0,0,0.036,0.0865,0,0,0,0,0.2595,0.995,1,0.235,0,0,0,0,0,0,0,0,0,0,0.0235,0.3725,0.9095,1,0.966,0.075,0,0,0,0,0,0,0,0,0.116,0.4355,0.8665,1,1,0.996,0.4025,0,0,0,0,0,0,0.022,0.4185,0.6615,0.9995,1,1,0.825,0.5715,0.42,5e-04,0,0,0,0,0,0,0.058,0.931,1,1,1,1,0.521,0,0,0,0,0,0,0,0,0,0,0.091,0.5265,0.5715,0.5715,0.6355,0.971,0.791,0.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1785,0.831,0.9355,0.1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1995,0.9835,0.8005,0.0165,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0.912,1,0.3985,0,0,0.503,0.5785,0.306,0.1225,0,0,0,0,0,0,0.1395,0.9825,1,0.613,0,0,0.043,0.864,1,0.993,0.857,0.639,0.4485,0.286,0.409,0.6265,0.9255,1,1,0.7045,0,0,0,0.1375,0.4915,0.7635,0.994,1,1,1,1,1,1,1,0.8335,0.1055,0,0,0,0,0,0,0.1235,0.227,0.499,0.714,0.8125,1,0.9015,0.437,0.06,0,0
